,Cancer_Q
6437,3 which is now 4 groin lumps in a week..Had pap smear which was very painful. They haven't before but had abnormal pap prev and hpv. Cervical cancer?
6438,6 years ago I had an abnormal pap but didn't follow what are my chances that I could have cervical cancer now?
6439,AGC and HPV negative on recent Pap. Irregular bleeding for last few months. Scheduled colposcopy. Odds of this being cancer?
6440,ASCUS pap then normal then ASCUS. Does this indicate cancer.? HPV unknown. Dr plans repeat pap six months. Ok to wait.?
6441,ASCUS pap then normal then ASCUS. No HPV testing. Not standard in Ontario Family Dr said redo pap six month. Ok to wait? An concern for cancer
6442,Abnorm pap and + HPV test then colposcopy and biopsy. Result low grade CIN 1 cervical dysplasia. Chemical peel done and flouroplex prescription vag. What is it?
6443,"Abnormal Pap smear result- I'm 19 & results were LSIL, EPCA, MIDH, with no endocervical component identified- should I wait 6mo/year and then re-pap?"
6444,Abnormal Pap (ASCUS)1 yr ago and another this yr. Neg. HPV. G-ma had cervical cancer. Mother had many abnormal tissues removed. Cervical cancer possible?
6445,"Abnormal pap 6 weeks post partum, no fam history of cervical ca. Why would my dr do a biopsy first before a repeat pap?"
6446,"Abnormal pap smear not yeast infection, what to do?"
6447,"Abnormal pap smear result, chart online says A in ""Flag"" category w/ HSIL. With title ""Pap IG, CT-Ng, rfx HPV ASCU what does this mean? Do I have HPV?"
6448,Abnormal pap smear results. How soon do I return?
6449,"Abnormal pap smear, should I be concerned?"
6450,Abnormal pap smear. Tested positive for hpv. Follow up pap smear almost 2 years later. No results yet. What are my risks of cervical cancer?
6451,Abnormal pap test for 5 years. (got 3 tests that were abnormal. Never had a normal pap?
6452,Abnormal pap was thought to be agcus and asc-h on further exam they believe there are signif. Atypical trophoblast cells. Is this confusion normal?
6453,Abnormal pap with HPV after never having an abnormal result and 10 years with my spouse. Should we wait to have sex until after my colposcopy?
6454,Abnormal pap. +HPV. Colposcopy biopsy was normal. Next pap still abnormal. Should I be worried?
6455,Abnormal pap. Dr said cell changes with signs of yeast. What could this be?
6456,Abnormal pap/high rsk hpv. Never had a colpo cause dr never called with results. Just found it(year after) I'm terrified. What are my chances of canc?
6457,"Abnormal pap/hpv 16 in may 2013, colposcopy june 2013 cin1 (doctor said looked like cin2), repeat pap jan 2014 abnormal. Colposcopy or leep next?"
6458,Abnormal paps for 9 years. Last colpo was 2009 result was CIN 3. I had paps w/ascus results. My WBC has been high over a year w/ no infection. Ideas?
6459,"Acus twice.had colpscopy/biopsy 1 CIN 1,2 negative x dysplasia.hpv negative. did pap test in June and normal now.do i need colpscopy in december?"
6460,After 13 years of not having a smear I recently had one after childbirth I've had results high grade dyskaryosis what are the chances it being cancer?
6461,"After contracting hpv, how quickly can it be detected in a pap smear?"
6462,"After having a leep of CIN 2-3, my latest pap smear says I have metaplastic squamous cells. What does that mean?"
6463,After having a pap smear I was told I had abnormal cells. Can anyone explain this to me in more detail?
6464,"After my pregnancy i got my period every month up until 2 months ago no period. A pap smear revealed i have abnormal cells, does it mean cancer ?"
6465,"After pap smear came back with squamous cell carcinoma, , my doctor only recommended a second pap smear in six months.  What would you  recommend?"
6466,All 14 high risk numbers came up on my Pap smear for cervical cancer. Does that mean I have i?
6467,All about HPV 66.?
6468,All my pap smears normal. Last one 8 months ago - normal. Pink discharge 9 weeks postpart. Could it be cervical cancer? Waiting for pap results
6469,Are abnormal pap smear and HPV the same thing?
6470,Are blood clots normal after pap smear?
6471,Are endometrial cells over 40 normal on a pap smear?
6472,Are pap smears mandatory after the age 21?
6473,Are pap smears nescessary after 70?
6474,Asc-us & now abnormal; negative hpv. What might it be?
6475,Ascus on a pap. Could it be cancer?
6476,Ascus pap negative HPV 14 months ago.  Six months later pap redone and  was normal.  How likely this pap going to show cancer she's married for years.
6477,Ascus pap negative HPV 14 months ago.  Six months later pap redone and  was normal.  How likely this pap going to show cancer she's married for years?
6478,Ascus pap negative HPV 16 months ago pap 10 months ago norml colpo normal have discharge & periodic spotting swabs normal what can be I do have dermatitis?
6479,"Ascus pap result, HPV 18 positive. Had colposcopy, 3 spots were biopsied and ecc done. How likely is this to come back as cancer?"
6480,Ascus pap w/hpv high risk. Biopsy says ectocerv. Squamous mucosa w/inflm. N reactive changes. What's this indicate? Doc said bact. Vaginosis. I disagr
6481,Atypical glandular cells - favor neoplastic was my pap smear test result. Negative colposcopy- & endocervical curretings result. Please explain.
6482,Biopsy results -hpv cin3 what does that mean?
6483,Can Crohn's disease be found through a cervical biopsy or pap smear test?
6484,"Can HPV 16 go away on its own? Had leep for severe dysplasia. Recent pap showed borderline changes and HPV 16 again. (pap was 2 mnths ago, leep year"
6485,Can I be HPV free but still have irregular cells?
6486,Can I have normal pap smear after leep procedure?
6487,Can I have pap smears while on my period?
6488,Can I have sex after pap smear ?
6489,Can I still join the army if I have an abnormal pap smear result?
6490,Can PID be detected during routine pap smear?
6491,Can a STD or STI cause a abnormal Pap smear ?
6492,Can a bacterial infection cause an agus pap result?
6493,Can a cervical smear test detect cancerous cells?
6494,Can a colposcope see anything else besides cancer or precancer cells in the cervix? What other abnormalities can it detect?
6495,Can a doctor perform a pap smear against my will or not?
6496,Can a gynecologist tell you an abnormal pap smear is cancer right away without further tests?
6497,Can a pap smear alone detect high risk HPV or does the colposcopy determine that? How can a doctor tell how long the HPV has been in someone's system?
6498,Can a pap smear cause irregular bleeding?
6499,Can a pap smear detect HPV if so how soon after infection can it be detected?
6500,Can a pap smear detect a pregnancy?
6501,Can a pap smear detect epithelial cell abnormality?
6502,Can a pap smear detect pid?
6503,Can a pap smear detected any STD infections?
6504,Can a pap smear determine whether you have chlamydia?
6505,Can a pap smear diagnose uterine cancer? Can uterine cancer show up on a pap smear test? .
6506,Can a pap smear tell if I can have kids if my cervix is open?
6507,"Can a pap smear turn out abnormal (atypical epithelial cells, neg hpv) if I just had miscarriage 3 weeks before?"
6508,Can a pap smear turn out abnormal if I just had miscarriage?
6509,Can a recent herpes diagnosis cause a pap result to be lsil?
6510,Can a vaginal infection be present even if my pap smear is normal?
6511,Can abnormal cells in the cervix be sexually transferred if it's not hpv?
6512,Can age and medication play a role in abnormal pap smear.
6513,Can an abnormal pap smear be due to candida?
6514,Can being pregnant cause an abnormal pap smear? Help please?
6515,Can bleeding during a pap make the results to be abnormal?
6516,Can bleeding during a pap smear cause abnormal results?
6517,Can doctors test for genital warts with a pap smear?
6518,Can fingering trigger an abnormal pap test? The result I had was endometrial cells found at cervix.
6519,Can hormone changes cause abnormal paps?
6520,Can hsv 2 cause an abnormal pap smear .
6521,Can i have a pap smear even if i'm only 20 yrs old but have been sexually active?
6522,Can i have pap smear done 3 weeks status post d&c? My biopsy showed chronic endocervicitis with squamous metaplasia.
6523,Can mirena (levonorgestrel) removal cause abnormal pap smear results?
6524,Can moderate dyskaryosis be easily treat? And can it turn into cervical cancer even if its been treated? Can a smear test show cancer cells? :)
6525,Can not having a period for a year cause abnormal cells in the uterus Should I ask for a smear test? I'm only 17 years old.
6526,"Can not having a period for a year cause abnormal cells in the uterus? Smear test? 17 years old, have PCOS& family history of cancers."
6527,Can semen skew the results of a pap smear?
6528,Can someone have MS and not have any leisons?
6529,Can stress cause an abnormal pap smear?
6530,Can surgical abortion done 2 months ago cause an abnormal pap test such as atypical squamous cells? I was 8 weeks pregnant at time of abortion
6531,Can the cause of an abnormal Pap smear be miscarriage?
6532,Can there be an error in pap smear test? all of my pap smears have  been normal. I just recently did one and it was also normal but HPV came up
6533,Can yeast infection cause a mild abnormal pap smear?
6534,Can you detect mycoplasma on a pap smear?
6535,Can you donate eggs if you had an abnormal pap smear with mild abnormalities?
6536,Can you find out if you have herpes from a pap smear?
6537,Can you please explain why a pap smear is performed on your first trimester exam?
6538,Can you tell me about abnormal pap smear during pregnancy? What does this mean? Is it harmful to baby?
6539,Can you tell me about being tested for on a pap smear?
6540,"Can you tell me if my pap smear results were ok, can I still develop papilloma virus later on?"
6541,Can you tell me what could cause an ascus pap that's not related to hpv?
6542,Can you tell me what is tested for on a pap smear?
6543,"Can you tell me what the significance is of spindle cells being found in a cervical smear test? I have had colposcopy and biopsy, awaiting results."
6544,"Cervicitis? Have yellow discharge, neg HPV and std- clear pap, neg ecc. Atypical immature metaplasia on biopsy with neg p16 stain."
6545,Colposcopy ascus hpv+ one white spot from acid   does that mean it's cancer ?
6546,Could I have HPV if my pap test was normal?
6547,Could cervical adenocarcinoma be missed on a pap test?
6548,Could chlamydia cause dysplasia cells on my pap making it abnormal?
6549,Could lipomas cause an abnormal pap smear?
6550,Could pregnancy give abnormal smear results?
6551,"Dear Doctor, should I worry that a abnorma Pap smear result is likely to turn into cancer? Thank you so much"
6552,"Diagnosed HPV 16, 18 months ago. Done paps every three months, plus two bispsies, all negative. Now pap says squamous metaplasia: should I worry?"
6553,"Diagnosed w/ HPV 28 yrs ago & treated for genital warts, had complete hysterectomy in 2005 but  abnormal  Pap smears in 2009 should I have pap smear?"
6554,Did I have hpv? I had a leep 2 years ago. My doctor never said i had hpv. She did say that the cells were abnormal.
6555,Do I have to have an annual pap smear even if I haven't had sex since my last pap smear?
6556,Do I need to get a pap smear before I'm 21?
6557,Do I really need a colposcopy everytime I have an abnormal pap?
6558,Do I still need to have paps after a hysterectomy?
6559,Do abnormal pap test results mean cancer?
6560,Do all HPV strands show abnormal cells in a papsmear or just the strands that cause cervical cancer?
6561,Do normal pap smears show tubal ligations?
6562,Do only the high risk strains of HPV cause abnormal paps/dysplasia?
6563,Do pap smears only test for cervical cancer or other types too?
6564,Do sperms show in a pap smear result paper?
6565,Do they always test for HPV when you have a yearly pap smear?
6566,Do you have a pap smear after having baby?
6567,"Docs, could a pap smear tell if you are pregnant?"
6568,Does CIN 3 always come from CIN 1?
6569,Does HPV automatically mean cancer in the future? Is it a lifetime disease? What are other causes for an abnormal pap besides chlamydia?
6570,Does a abnormal pap mean I have HPV my doctor never told me I did just said had cyst and would remove them after I had my baby does that mean warts?
6571,Does a cervical smear to detect cancer cells detect std's at the same time?
6572,Does a colposcopy basically feel the same as a Pap smear? I have to have one done in result of abnormal pap. Kind of nervous...
6573,Does a normal pap smear you have a negative pap smear?
6574,Does a pap smear check for all types of vaginal cancer or just the cervical type?
6575,Does a pap smear hurt?
6576,Does a patient having UTI can have pap smear?
6577,Does an abnormal pap or cervicitis cause fertility issues?
6578,Does an abnormal pap smear mean I have hpv?
6579,Does chlamydia cause abnormal cells in a pap smear test?
6580,Does fibroids cause abnormal pap smears?
6581,Does having an ascus pap at age 23 (resolved by repeat pap being all normal since ) have any impact on an ascus pap at age 40.  Hpv status not known?
6582,Does it mean anything if i bleed during my pap smear?
6583,Does pap smear show ovarian cancer? Nurse said yes but all I've read says no?
6584,Does pap smear test for warts n hpv?
6585,Does pap smear test result showing slight infection mean cancer?
6586,Does pap smears or wet preps test for cervictitis?
6587,Does physical genital warts show up in pap smear?
6588,Does taking prenatal vitamins produce abnormal cells in a pap smear?
6589,Does terconazole interfere with pap smear results?
6590,During a pap smear what's everything they check for??
6591,E6/e7 on pap but when did biopsy it was cin1 I read e6/e7 positive means at least cin 2 so did they miss something on biopsy ?
6592,Endometrial biopsy april nml pap last week neg HPV but showed endometrial cells I am scared what does this mean?
6593,"Endometrial cells found on pap 5 years ago, none since."
6594,Even though i've had a complete total hysterectomy is it possible to have cancer with an abnormal pap (sil)?
6595,Following abnormal pap smere results (low grade abnormal cells) for over a year a cryocautery has been recommended. What are the risks? Necessary?
6596,Following pap smear I need to have a colposcopic examination with biopsy and 'atypical spindle cell tumour needs to be excluded'. What is this?
6597,"For 5yrs now my pap smear results has been lsil,acus, normal. the most recent was abnormal Does this mean I have cervical cancer?"
6598,For what length of time can you have HPV before a pap smear detects it?
6599,Found out I have intraepithelial lesion but my tests for all std's and HPV were all negative. What could this mean?
6600,"Got pap smear done and it came back as ""HPV Negative' However some atypical cells were found. What are atypical cells? What causes them? Is it cancer?"
6601,HPV negative with normal yearly paps. But after TAH path report shows CIN III. How can this be? Now what?
6602,"HPV+, normal pap b4 hyst. No history of mod-high cin. Had total hyst for bil cysts (benign) norm path. Told no need for paps anymore. Is this normal?"
6603,"HPV-18 and ASC-H positive results led to a LEEP procedure. First pap smear 11 months later resulted in negative HPV test, but ASC-H present. Why?"
6604,Had 3 low grade abnormal pap smears within 10 months with no colposcopy. Doctor wants to wait 6 months before rechecking. Suggestions? Have ms.
6605,Had a Pap smear and it didn't hurt. Would the report say if the sample was adequate? Can they see if there are cervical cells on the sample?
6606,"Had a pap come back with reactive endocervical cells, what exactly is that?"
6607,"Had a pap done 2 yrs ago & it show that i had precancerous cells & test positive for HPV prior, didn't follw up with a gyn. Chance of having cancer?"
6608,Had a pap smear on day 10 of menstration. Pap came back normal but shows endometrial cells on uterine lining. What does this mean? Going for a biopsy.
6609,Had abnormal pap 4 yrs ago. Havent been to doctor since .How can I tell if i may have cervical cancer?
6610,Had abnormal pap smear and then a colposcopy. Went back a year later and no abnormal cells present. Does this mean I have HPV?
6611,"Had abnormal pap/positive HPV 2006, again 06/2013, abnormal pap 01/2014 is it ok for dr to advise retest in 6months. No other test now?"
6612,Had an abnormal pap smear my doctor wants to do a biopsy on my cell in my cervix what does that mean?
6613,Had an abnormal pap test & dont know what triggered it. it was endometrial cells found at cervix. Im 18 & doc say I have low chance of cervical cancer?
6614,"Had few abnormal pap smear&colposcopy showed minor changes, had few more paps came back abnormal with HPV got to have another colposcopy can you help?"
6615,Had low grade pap smear then had colposcopy which was not cancer. Just had period 2 wks early. Period or Cancer?
6616,Had pap smear. Doc called and said she needs to redo it cuz the lab says not enough cells collected? What does that mean and is it worrisome?
6617,Have you ever had an abnormal pap smear that was not cancer or precancer?
6618,Hello doctor my pap smer result is NEGATIVE FOR IBTRAEPITHELIAL LESION AND MALIGNANCY. Satisfactory for evaluation. Endocervical and/or squamous metap?
6619,Help please! could bleeding during a papsmear cause abnormal results?
6620,Help please! when should I get a pap smear?
6621,"Help, what to do if pap smear report says satisfactory with metaplastic cells?"
6622,Hi Dr should I be more worried if pap smear result showing endocervica cells present and HPV infection but it didn't mention the type?
6623,Hi i did a pap smear and results came back as follow: low grade squamous intraepithelial lesion does it mean I have canser? Or canser cells?
6624,Hi I had a smear test like I do every year usually its normal smear but this time my result is normal smear reactive endocervical cells explain pls?
6625,Hi i have my 6 month follow up in 2 days after leep i have hpv will my pap be normal?
6626,Hi I just recieved my pap smear results and it says satisfactoy for evaluation: endocervical cells present. High grade squamous interaepithelial lesio?
6627,Hi I just recieved my pap smear results and they came abnormal the results said epithelial cell abnormality should I be worried?
6628,"Hi I've made the pap smear test and I received the result as ""satisfactory for evaluation"" also, endocervical cells are present. What does that means?"
6629,Hi. I ve undergone pap smear and HPV test. Need help wiyh tje teat report?
6630,High risk hpv. First abnormal pap led biopsy result showed cin1 (condyloma). 6 month followup shows chronic cervicitis with no dyspl. Pls advise. ?
6631,How can pap smear be abnormal if no cervix? Does hyst remove risk from hpv?
6632,How common is it to have an abnormal pap 6 months following a colposcopy freezing?
6633,How do I read my pap smear results so that I can understand them?
6634,How do you know when to have a first pap smear?
6635,How frequently should she have a pap smear done?
6636,How important is pap smear?
6637,How is cervicitis detected?
6638,How is pap smear after leep completed?
6639,How likely is cervical cancer when you have an abnormal pap for the second time?
6640,How likely is it that cervical adenocarcinoma could be missed on a pap test?
6641,"How long does it take 4 abnormal cells to turn into cervical cancer? 22, had ultrasound 1 yr agopap every 6mnths nothing there just abnormal cells."
6642,How many days later can trich show in your pap smear?
6643,How many years is normal to go through this pap - colpo (every 6 months but I haven't been in a year) cycle with ascus legions? It's almost been 4 yrs
6644,How often can I need a pap smear after abnormal cells?
6645,How often is it suggested to have a colposcopy if you had an abnormal pap smear?
6646,How often is pap smear needed?
6647,How often should a Pap smear be done?
6648,How often so I need a Pap smear? I've never had an abnormal pap and I've had the same partner for 10 year. Last pap was 1.5 years ago. I'm 27
6649,How old do you have to be to get a pap smear?
6650,How short of a time span can HPV be detectable between a pap smear and intercourse?
6651,How to tell if my pap smears results are bad?
6652,How will I know what does an abnormal pap smear mean while pregnant?
6653,"Hph positive.last pap EPITHELIAL CELL ABNORMALITY LGSIL, Mild DYSPLASIA.I am also immunocompromissed.Treatment? Opinions? Want to compare with my Gyn"
6654,"Hpv and precancerous cells in pap test if i tested positive for one of the strains of HPV that is preventable by the vaccine and did the pap test and the doctor said I have precancerous cells, can this be something that can go away on its own? I was told"
6655,"Hpv from rape. Abnormal cells in pap smear, mom had same but no hpv. Should I worry? Gyno appt pending"
6656,Hvp associated changes not seen. There is no significant atypia or evidence of cervical intraepithelial lesion - pap smear test?
6657,I am 44 had abnormal paps due to hpv. Had biopsy s (good) etc. Pap came with endo cells. But was on last day of period...Can period cause that?
6658,I am 45 years old and just has my pap smear as well as an ultrasound last week. Pap and ultra were normal but it came back with endometrial cells.
6659,I am 5 weeks pregnant and had an abnormal pap with stage 3 cells.  The dr. Is going to do a colposcopy with a possible biopsy.  I am very nervous abop?
6660,"I am HPV positive, what does it mean ""pap c 23 "" which was written on my results?"
6661,I am a female age 30. My dr's lab called and said they need some demographic info on some of my specimens. This is after a yearly pap. What does it mean?
6662,I been bleeding for two days after my pap smear what's wrong?
6663,I experience abdominal pain and bloating. Could pap smear results ASCUS signify ovarian cancer and not only cervical? I have chronic HBV as well.
6664,I got a pap smear done and it says the results are abnormal....What does that mean..Do I have an STD or something?
6665,"I had (pap)test last year,I didn't have any abnormal cells,today I had colposcopy cuse I have blood before period,could I have (cancer) please help!"
6666,I had a Pap smear and doctor said it was abnormal which means I have HPV. Is this true? I don't have any warts so does this mean I have cancer?
6667,I had a Pap smear that came back as HSIL. Did colposcopy and biopsies.  one biopsy came back as LSIL and one Normal. Having a LEEP. Does this happen?
6668,"I had a abnormal pap & now mild dysplasia. Does that mean I have HPV? If so, how can this affect my partner? Can I have mild dysplasia & no hpv?"
6669,I had a abnormal pap smear does that automatically mean I have HPV? Is HPV a STD?
6670,I had a abnormal pre cancerous cells pap smear last year and was told to do a follow up but I have yet to find a doctor who will what should I do?
6671,"I had a colposcopy March 31, had LSIL but a mild case, no evidence of cancer, just repeat a pap smear in one year. Now I'm spotting?"
6672,I had a colposcopy and there were abnormal cells visible without the use of vinegar what does this mean?
6673,"I had a few abnormal smears i was called for a coloscopy then had another few abnormal smears been called for a coloscopy again, what happens next?"
6674,I had a normal smear result 12 months ago. I now have severe dyskarosis. Is this cancer?
6675,I had a pap smear and my dr saw visible leisons on my cervix but I tested negative for hpv. Why do I have leisons if I have no std's?
6676,I had a pap smear done and my gyn said I had abnormal cells. What could be the reasons for this?
6677,I had a pap smear that came back with abnormal cells and had a colposcopy then had a pap smear with low grade cells. What does that mean?
6678,I had a pap smear.My dr said I have pre-cancerous cells they found on my cervix. I am 30 years old. 3 kids by c-secton. What does this mean?
6679,I had a suspicious mammogram and abnormal cells with pap smear. I amscheduled for further mamo and another pap. The 2 togethter worrisome or coincident?
6680,I had an abnormal pap and know my doctor recommends a colonoscopy. Why would this recommended?
6681,I had an abnormal pap smear and I don't have HPV so should I be concerned? I'm only 22 and the doctor said i'll need another one in 6 months.
6682,I had an abnormal pap smear and i had to go for a biopsy this morning. The doctor saw white spots on my cervix. Does this mean i have cancer? Im 25
6683,I had an abnormal pap smear low grade. Does this mean cancer?
6684,I had an abnormal pap smear. Would an undetected pregnancy cause it? I have to have a colposcopy done and I nervous about the result.
6685,I had an abnormal period and the doctor did a colposcopy. He said its rarely cancer. What kind of growths could be on my cervix? I'm kind of worried
6686,I had an abortion 5 weeks before my pap smear. My results came back abnormal. Could this be the cause?
6687,I had cervical cancer 8 years ago they did a hystrectomy .do I still need a Pap smear yearly ?
6688,I had hysterectomy done. Do I still need a pap smear done yearly?
6689,I had my annual checkup at my gynecologist. Told I have abnormal cervix cells and that I have to have a colposcopy. How does this happen? I'm nervous.
6690,I had my first abnormal pap smear. Why are the doctors telling me to return in a year?
6691,"I had my pap smear last june 13 , the result is benign smear with severe inflammation and reparative changes bacterial vaginosis.What does this mean?"
6692,I had my second pap results yesterday. I have an abnormal cell growth but HPV is negative. How is this possible?
6693,"I had no cervix ( hysterectomy 2008), pap test could be used to diagnostic vaginal cancer?"
6694,I had pap smear and the result says benign smear with moderate inflammation. What does it mean?
6695,I had pcos.3 months back I had abnormal pap smear result so got cone biopsy done. It was 3rd stage.?
6696,I had squamous metaplasia+postive hpv last yr on my pap. Do u think it could have progressed to cancer in a year ?  Im very worried
6697,I had tah on28/08/2013 do I still have to do a yearly pap smear?
6698,"I had two abnormal pap smear, what does that mean and what could be the cause of my test being abnormal?"
6699,I had unsatisfactory pap test with obscuring blood and inflammation. Neg HPV. Had normal paps last 5 years. Could this be cancer?
6700,"I have ""abnormal cells"" in my pap smear with negative hpv. I have no symptoms. Is this common in menopause? My doc says it is. Repeating pap 4 mos"
6701,I have 3 groin lumps so I had a pap smear it hurt badly for the first time ever I have had an abnormal pap before and have hpv. Could it be cancer?
6702,I have HPV and warts. I am going in for a colosopy due to abnormal cells on pap. Could I have cancer?
6703,"I have HPV high risk, and what does mean negative for interaepithelial lesion and malignancy a b 02?"
6704,"I have a mild abnormal pap smear, dr. did not give me detail he just said come back for a colposcopy. What does it mean to have a mild abnormal pap?"
6705,"I have a nabothian cyst on my cervix, follicles in my left ovary and abnormal cells on my pap smear. What could it be?"
6706,"I have a visible ""lesion"" on cervix during pap smear, what is leading to this?"
6707,"I have abnormal pap smear not yeast infection, what to do?"
6708,I have abnormal pap. Is there any treatment except scraping?
6709,I have an abnormal pap smear. Hpv was found at high risk. What does that mean? Do I have cervical cancer? What happens if I become pregnant?
6710,I have been diagnosed with HPV and an abnml  pap. I was scheduled for a colposcopy and a biopsy. Been monogamous 18 yrs. How is this possible?
6711,I have been having cramping in my cervix.  I am a female. I have also had a slightly abnormal pap smear results. Is this cervical cancer?
6712,I have been having cramping in my cervix.  I am a female. I have also had a slightly abnormal pap smear results. Is this cervical cancer?
6713,I have been having cramping in my cervix. I am a female. I have also had a slightly abnormal pap smear results. Is this cervical cancer?
6714,"I have colposcopy positive cin1 results, now what? Do they have to do colposcopy again if positive hpv/neg pap again?"
6715,I have had 2 abnormal pap smears in the past 6 months. I also have lupus. Could this be serious?
6716,I have had a colposcopy and a leep for cervical dysplasia and my follow up pap shows another low grade lesion. I have HPV. Im worried about fertility ?
6717,"I have had an abnormal nuclear glandular smear result, I have to have a coloscopy, please explain the difference between this result &cin3?"
6718,I have had an abnormal pap smear what does that mean?
6719,"I have had two pap smears and both came back with epithelial cell abnormalities but the doctor said there is nothing he can do, should I be concerne?"
6720,"I have high risk hpv, first pap test showed CIN i, the last one showed there were no changes on cervix, how optimistic should I be about the next pap?"
6721,I have hpv 16 on Hpv dna test. But pap is negative for hpv and no cell change. I think pap is incorrect as i have hpv 16 but no cell change. Expain me?
6722,I have mononucleosis. Will this cause my papsmear to be abnormal?
6723,"I have servical dysplasia, pap smear showed minor changes in the servical. What does it mean? Do I have HIV or cancer or what?"
6724,I have tested positive for high risk HPV & abnormal pap so having colposcopy done. When should you do a repeat pap smear?
6725,I have turners syndrome and had an abnormal pap test. I have been off HRT for 4 years could that be the reason for the abnormal pap?
6726,I just got my leep results as hgsil with negative margins but glandular involvement. The ECC was normal. What does that mean?
6727,"I just had a colposcopy done, my doctor said he seen a lot of abnormalties, does this mean I have cervical cancer?"
6728,"I just had my annual Pap smear done and the results say ""MODERATE GRAM POSITIVE RODS SEEN, FEW SQUAMOUS EPITHELIAL CELLS SEEN"" what does this mean?"
6729,I just received my pap smear results. Neg for intraepithelial lesion and malignancy but CHMI is 10:80:10. What does that mean? On the pill btw.
6730,I need some advice on abnormal pap smears--never had one before?
6731,I want to know if HPV 16 will inevitably turn with time into cancer. I had a LEEP a year ago with clear margins and 2 clear paps but i'm still HPV16+.
6732,I want to know when to see gyn onc for colposcope if I had abnormal pap with hpv?
6733,I was just diagnosed with HPV 53 having a abnormal pap smear. What information can you give me about this particular type. How common is it?
6734,I was just told I had an abnormal pap test. What does it mean to have mildly abnormal dysplasia cells?
6735,I was told im seeing my doctor for a pap smear but don't know what it is?
6736,I was told that my pap smear was abnormal due to inflammation on cells and I have to get a cloposcopy done. Should I worry?
6737,"I'm 21 years old and never had a pap smear, is that okay?"
6738,"I'm 7 weeks pregnant, had pap smear tst, the result was ""BENIGN SMEAR WITH MODERATE INFLAMMATION & REPARATIVE CHANGES"". Would it affect my pregnancy?"
6739,I'm curious what could happen when you have reoccuring abnormal pap smears?
6740,I'm not sure if he had it but I did and had cryosurgery for cancer causing HPV cell abnormality.He took off his condom I think that means i'm rexposed?
6741,I'm still spotting from having a Pap smear five days ago. Is that normal?
6742,I've been diagnosed with PCOS. Is PCOS the cause of ascus cells on my cervix?
6743,I've had abnormal cells after smears for 6 years. Can this be caused by anything other than the hpv? I've just been tested for HPV but worrying
6744,"I've had an abnormal pap last year and a leep... And now another abnormal pap with high risk hpv, what can I expect?"
6745,I've had an abnormal pap then it came back normal. Now back abnormal. Will I always have abnormal paps or soon will all my future paps be normal. ?
6746,I've never bad an abnormal Pap smear-- is that really uncommon? How can in have never had an abnormal pap despite having different partners?
6747,I've never had a pap smear but I am 16 and have been sexually active for 3 years. does the pap smear check for more than the blood test?
6748,"I've recently had smear, results come back abnormal, high grade dyskaryosis, does this mean it's cancer, I'm up to. Date with smears, last smear was. Normal?"
6749,I've seen a dr blood work and pap done. Cervical erosion is what she said I have. What can I do?
6750,"If I had abnormal cells (CIN 3) which was removed with lletz, how come my recent check up smear was normal with no hpv? I thought I'd have HPV still."
6751,"If I had an abnormal pap with severe dysplasia level 3, does it mean that I have cervical cancer?"
6752,If I have CIN 1 on pap test- does that mean I got the dangerous HPV type? Does that mean precancerous cells? Thanks
6753,"If I have a low grade squamous lesion from an abnormal pap, should I stay away from tampons?"
6754,"If a Pap smear didn't contain cervical cells, would t say inadequate sample and make you redo it?"
6755,If had leep& the next pap is abnormal does that mean doc didn't remove all precancerous cells? If the next 2paps are abnormal should have 2nd leep done
6756,If i had a cervical smear test and i had cervical cancer would the actual smear result written to me say a finding of cancer? Or something else.
6757,If i had a colposcopy and had cin2 abnormal cells removed and a biopsy took does this mean i cud still have cancer? Or what does it mean?
6758,If I had a pap smear a year ago could I have cervical cancer?
6759,If i had an coloscopy when my pap smear first came normal could I have prevented hpv?
6760,"If my Pap smear indicates LSIL but my hpv test was negative, does it mean I still have hpv?"
6761,If my pap smear showed HPV how long could it have been there?
6762,"If my pap smear states I have stage four cancer, what are the exact abbreviations that are used on the results form?"
6763,If pap smear test suggestive of lsil does it reqd biopsy before fibroid removal?
6764,"If total hyst but still abnormal pap from bad HPV types, what are chances of vaginal cancer?"
6765,If you are a virgin do you still need a pap smear?
6766,If you have advance abnormal cells in your cervixs when they do a pap what do that mean?
6767,If you have genital warts does it show up on your pap test?
6768,"If you have hiv, would you pap smear showed inflammation?"
6769,"If you have visible ""lesion"" on cervix during pap smear, what is the cause?"
6770,If you haven't had a pap in 5 yrs. Then all of sudden you have a std. Which you haven't showed really any signs of. How & where does the trichiminomas?
6771,"If you've had the same partner for 10 years and for the first time in 10 years have an abnormal pap positive for HPV, does this mean they cheated?"
6772,If your pap smear results have been ASCUS for 4 yrs and colposcopy is normal could you have cervical cancer one year after your last test?
6773,Is HIV and STDs checked when doctors do a pap smear?
6774,Is WBC in a pap smear a bad sign?
6775,Is a Pap smear very painful for a Virgin?
6776,"Is a pap smear enough to diagnose cervical cancer,  or is biopsy necessary?"
6777,Is a pap smear the same thing as a biopsy?
6778,"Is an abnormal pap smear result of low grade squamous intraepithelial lesion, mild dysplasia present always caused by hpv?"
6779,Is an abnormal pap test serious?
6780,Is dysplasia stage 1 really bad they told me i had abnormal pap hpv?
